year,genreLabel,albumCount
2021,jazz,4
2021,pop music,3
2021,contemporary R&B,3
2021,hard rock,3
2021,rapping,3
2021,rock music,3
2021,acoustic music,3
2021,alternative rock,3
2021,symphonic metal,3
2021,contemporary folk music,3
2021,progressive metal,2
2021,country music,2
2021,progressive rock,2
2021,soul music,2
2021,electronic music,2
2021,indie pop,2
2021,post-punk,2
2021,experimental rock,2
2021,rhythm and blues,2
2021,neo soul,2
2021,urban contemporary,2
2021,instrumental rock,1
2021,electronica,1
2021,ambient music,1
2021,experimental music,1
2021,neo-progressive rock,1
2021,J-pop,1
2021,folk rock,1
2021,liscio,1
2021,acoustic rock,1
2021,electropop,1
2021,pop-punk,1
2021,K-pop,1
2021,metalcore,1
2021,post-hardcore,1
2021,contemporary worship music,1
2021,French hip hop,1
2021,indie rock,1
2021,funk,1
2021,blues rock,1
2021,garage rock,1
2021,stoner rock,1
2021,hip hop music,1
2021,Slowcore,1
2021,pop rock,1
2021,art pop,1
2021,Avant-funk,1
2021,independent music,1
2020,hip hop music,77
2020,pop music,73
2020,rock music,35
2020,J-pop,33
2020,trap music,20
2020,pop rock,19
2020,country music,19
2020,alternative rock,16
2020,contemporary R&B,15
2020,reggaeton,15
2020,indie pop,13
2020,indie rock,12
2020,progressive rock,11
2020,progressive metal,10
2020,K-pop,9
2020,hard rock,9
2020,rhythm and blues,9
2020,punk rock,9
2020,synth-pop,9
2020,rapping,9
2020,contemporary worship music,9
2020,Latin pop,8
2020,jazz,8
2020,electronic music,7
2020,heavy metal,7
2020,dance-pop,7
2020,pop rap,7
2020,country pop,7
2020,urban contemporary,7
2020,Latin trap,6
2020,electronic dance music,6
2020,post-punk,6
2020,disco,6
2020,folk rock,5
2020,alternative hip hop,5
2020,art pop,5
2020,electropop,5
2020,alternative metal,5
2020,ambient music,5
2020,contemporary folk music,5
2020,French hip hop,4
2020,glam rock,4
2020,psychedelic rock,4
2020,thrash metal,4
2020,pop-punk,4
2020,contemporary Christian music,4
2020,rap rock,3
2020,techno,3
2020,rap music,3
2020,French pop music,3
2020,emo,3
2020,soul music,3
2020,symphonic metal,3
2020,alternative country,3
2020,arena rock,3
2020,heartland rock,3
2020,experimental music,3
2020,grunge,3
2020,avant-garde metal,3
2020,baroque pop,3
2020,art rock,3
2020,Christmas music,3
2020,acoustic music,3
2020,hardcore hip hop,3
2020,chamber pop,3
2020,death metal,3
2020,folk music,3
2020,Tropipop,3
2020,black metal,2
2020,funk,2
2020,dark wave,2
2020,Russian hip hop,2
2020,electro,2
2020,metalcore,2
2020,Iranian hip hop,2
2020,hip hop,2
2020,instrumental rock,2
2020,salsa,2
2020,teen pop,2
2020,soft rock,2
2020,sound collage,2
2020,Low fidelity,2
2020,alternative,2
2020,experimental pop,2
2020,post-rock,2
2020,nu-disco,2
2020,doom metal,2
2020,neo soul,2
2020,reggae,2
2020,experimental rock,2
2020,Western classical music,2
2020,nu metal,2
2020,electronica,2
2020,industrial music,2
2020,lo-fi music,2
2020,blues,2
2020,American folk music,2
2020,Americana,2
2020,house music,2
2020,deep house,2
2020,coldwave,2
2020,film score,2
2020,country rock,1
2020,Synthpunk,1
2020,doo-wop,1
2020,industrial rock,1
2020,New-age music,1
2020,power pop,1
2020,electronic rock,1
2020,French rock,1
2020,independent music,1
2020,Arabic pop music,1
2020,power metal,1
2020,folk metal,1
2020,Pirate Metal,1
2020,breakcore,1
2020,space rock,1
2020,middle of the road,1
2020,cowboy pop,1
2020,ballad,1
2020,tango,1
2020,chanson,1
2020,Ranchera,1
2020,Occitanian traditional music,1
2020,Trap (EDM),1
2020,city pop,1
2020,hardcore punk,1
2020,industrial metal,1
